stim_site,ROFC1,ROFC2,ROFC3,ROFC5,ROFC6,RSGC3,RSGC4,RSGC5,RSGC6,RH3,RH4,RH5,RA1,RA2,RA3,RA4,RA5,LOFC1,LOFC2,LOFC6,LOFC7,LOFC8,LSGC2,LSGC3,LSGC4,LH1,LH2,LH3,LH4,LH5,LA1,LA2,LA3,LA4,LA5,RVC1,RVC2,RVC3,LVC1,LVC2,LVC3
LA2,,,,,,,,,,,,,,,,,,,4.811022472272056,7.549992595219257,15.410895879185322,8.50035113544415,,,,8.938190013960776,5.372459101081434,7.125975495369718,4.5156331049371,,,,,,,,,,,4.595380916323779,
LA3,,,,,,,,,,,,,,,,,,,4.811022472272056,7.549992595219257,15.410895879185322,8.50035113544415,,,,8.938190013960776,5.372459101081434,7.125975495369718,4.5156331049371,,,,,,,,,,,4.595380916323779,
LH2,,,,,,,,,,,,,,,6.561404005467014,,,,12.974631358915175,4.922169754009654,7.03529963733521,6.967366631736013,,,,,,,,,54.47233405049506,68.51215490155347,71.11908746692089,69.10523922062136,51.67727845183488,,,,,,6.003536779131466
LH3,,,,,,,,,,,,,,,6.561404005467014,,,,12.974631358915175,4.922169754009654,7.03529963733521,6.967366631736013,,,,,,,,,54.47233405049506,68.51215490155347,71.11908746692089,69.10523922062136,51.67727845183488,,,,,,6.003536779131466
LOFC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOFC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSGC3,41.360364113536725,21.64253556471547,21.167610754637746,39.26046549607811,39.32495664034113,42.78472486412169,57.302793633545875,8.117008253343709,12.56798612894631,13.556213382611038,13.512192189027763,9.319257027059473,19.4846150698151,17.260848371851207,15.418317204616855,16.11546598875944,17.030470169553375,59.69551590535235,47.59826391631516,19.14944332644371,6.608868357230827,7.473645060208298,,,,9.39698136937886,,,,9.404524587327847,13.91627083350536,16.336484525472702,13.889491361203039,12.91664612625299,11.964580247119956,22.798113989000985,19.832590549394798,19.800373313338415,23.118496286437647,19.04260875944866,20.49722104781751
LSGC4,41.360364113536725,21.64253556471547,21.167610754637746,39.26046549607811,39.32495664034113,42.78472486412169,57.302793633545875,8.117008253343709,12.56798612894631,13.556213382611038,13.512192189027763,9.319257027059473,19.4846150698151,17.260848371851207,15.418317204616855,16.11546598875944,17.030470169553375,59.69551590535235,47.59826391631516,19.14944332644371,6.608868357230827,7.473645060208298,,,,9.39698136937886,,,,9.404524587327847,13.91627083350536,16.336484525472702,13.889491361203039,12.91664612625299,11.964580247119956,22.798113989000985,19.832590549394798,19.800373313338415,23.118496286437647,19.04260875944866,20.49722104781751
LVC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA2,,,,,,6.521315172811763,,,,21.26434296382387,22.145336171170882,24.234251141870818,,,,,,,,,,,5.9600762505326355,4.996121144111389,,,,,,2.7190961576396337,,,,4.455688528628224,3.9230047902518486,5.8665818672408045,4.387671297411236,,6.002608517777039,5.6150016777392695,4.908164200798991
RA3,,,,,,6.521315172811763,,,,21.26434296382387,22.145336171170882,24.234251141870818,,,,,,,,,,,5.9600762505326355,4.996121144111389,,,,,,2.7190961576396337,,,,4.455688528628224,3.9230047902518486,5.8665818672408045,4.387671297411236,,6.002608517777039,5.6150016777392695,4.908164200798991
RH3,,,,,,,,,,,,,4.3622895821572,9.08356060233041,12.468920612206578,13.04888028031957,9.212130629461674,,,,,,,,,,,,,,,,,,,,,,,,
RH4,,,,,,,,,,,,,4.3622895821572,9.08356060233041,12.468920612206578,13.04888028031957,9.212130629461674,,,,,,,,,,,,,,,,,,,,,,,,
ROFC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROFC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSGC3,8.99356208451846,,2.9930866478437466,,,,,,,,,0.8297798424990749,7.394016882135074,,,,3.849261157824693,7.790188548654321,7.859809224195095,4.708946516211574,,,17.87660012972289,20.15214305695122,18.765828048578488,,,,,,8.495732015264537,7.423932123627708,7.064077834285941,,,,,7.458595947711889,11.685094114139245,12.409450051954607,10.695229302496658
RSGC4,8.99356208451846,,2.9930866478437466,,,,,,,,,0.8297798424990749,7.394016882135074,,,,3.849261157824693,7.790188548654321,7.859809224195095,4.708946516211574,,,17.87660012972289,20.15214305695122,18.765828048578488,,,,,,8.495732015264537,7.423932123627708,7.064077834285941,,,,,7.458595947711889,11.685094114139245,12.409450051954607,10.695229302496658
RVC1,,6.5980797035968335,6.630078409774539,6.058095342094339,6.022346349611241,7.816176106914374,17.154742439007762,7.7015835734773885,7.818863938393028,15.254989309736128,14.828490945767205,8.393309094794892,12.685198874872224,10.71029646876686,7.146923677037579,6.6342595020229185,,,,,,5.5854011128745515,10.814125396129548,10.738628797560583,10.310304668093767,4.721920424993081,,,,,7.55709452676705,,,,,,,,7.006303246553392,,7.555291233005542
RVC2,,6.5980797035968335,6.630078409774539,6.058095342094339,6.022346349611241,7.816176106914374,17.154742439007762,7.7015835734773885,7.818863938393028,15.254989309736128,14.828490945767205,8.393309094794892,12.685198874872224,10.71029646876686,7.146923677037579,6.6342595020229185,,,,,,5.5854011128745515,10.814125396129548,10.738628797560583,10.310304668093767,4.721920424993081,,,,,7.55709452676705,,,,,,,,7.006303246553392,,7.555291233005542
